player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_long,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,penalties,punt_attempts,punt_fair_catches,punt_long,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,total_attempts
Aaron Blancas,175115,WR,ARK STATE,11,0,113,,56.0,57.6,0,0,0,0,0,0,,0,21,22,19,2,0,122,5.8,21
Alfred Jordan Jr.,175120,WR,OHIO,3,0,259,58.9,60.0,58.8,1,0,15,0,0,15,15.0,0,0,0,0,0,0,0,,1
Khamari Anderson,175134,TE,ARIZONA ST,12,0,110,62.8,,63.4,3,1,14,0,0,22,7.3,0,0,0,0,0,0,0,,3
Anthony Brown-Stephens,175138,WR,TULANE,13,0,319,62.9,,63.2,15,0,40,0,0,365,24.3,0,0,0,0,0,0,0,,15
Ty Bryant,175140,S,KENTUCKY,12,0,202,59.9,37.1,46.0,1,0,21,0,0,21,21.0,0,7,5,25,3,0,34,4.9,8
Kieran Davis,175187,ED,E CAROLINA,12,0,156,59.6,,59.5,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,2
Antonio Ferguson,175189,TE,UAB,9,0,321,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Antione Jackson,175191,CB,UCF,12,0,323,,79.9,71.9,0,0,0,0,0,0,,0,16,17,37,1,0,187,11.7,16
Isaiah Bryant,175220,FB,NAVY,12,0,237,58.5,,58.4,21,0,43,0,0,457,21.8,0,0,0,0,0,0,0,,21
Joshua Guerin,175238,WR,NAVY,12,0,237,61.8,,61.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Gavin Noe,175254,TE,NAVY,12,0,237,59.6,,59.5,0,2,0,0,0,0,,0,0,0,0,0,0,0,,0
Keshaun Singleton,175325,WR,USF,12,0,327,59.9,,59.9,1,0,3,0,0,3,3.0,0,0,0,0,0,0,0,,1
